image,canny_precision,canny_recall,canny_f1,marr_precision,marr_recall,marr_f1
100007img.jpg,0.36939252336447737,0.6118421052631342,0.46066433561737485,0.3410812893283634,0.7139784946236367,0.46163205001272517
100039img.jpg,0.2756060275169191,0.5463203463203227,0.36638118735561664,0.21131986106725442,0.74985994397757,0.3297204088830466
100099img.jpg,0.3044769301050638,0.6553588987216984,0.4157829070059515,0.2504000673797671,0.8572664359861344,0.3875888142535114
10081img.jpg,0.26994744386048086,0.5788934426229212,0.3681981100902054,0.24279021343050242,0.7799331103678668,0.37030567681968146
101027img.jpg,0.32977564800696296,0.6380109565950005,0.43480758180457124,0.3903067800979584,0.7928777166797383,0.523106158718844
101084img.jpg,0.5188742461469619,0.7311929493232379,0.6070028742655107,0.41337199086276216,0.8658446816341394,0.5595861084243745
102062img.jpg,0.25565997436992194,0.3759422110552646,0.30434782603876215,0.2038708690330462,0.6132075471697972,0.30600528185484066
103006img.jpg,0.23114824335903533,0.6735330836454011,0.3441786283510995,0.13901319563970088,0.8826958105646309,0.240198265156166
103029img.jpg,0.35406091370557624,0.551383399209468,0.4312210200450992,0.6277056277056107,0.5606573223779469,0.5922900178209636
103078img.jpg,0.5495027124773836,0.7280622941000081,0.6263042637664958,0.4202553191489326,0.8704389212056959,0.5668369396335142
104010img.jpg,0.21511077447452726,0.5046645935139713,0.30164630903933687,0.17533421992020595,0.7462019660410859,0.28394921783361404
104055img.jpg,0.31398476019721394,0.4739512855209583,0.3777298462718134,0.3030440194636154,0.6504736458586191,0.4134630229611091
105027img.jpg,0.33618361836182864,0.7418073485600426,0.4626819448316391,0.29561011225700196,0.8811207834602589,0.44269801130659486
106005img.jpg,0.2617956939990778,0.7764945652173385,0.39157245628293114,0.2683093771389429,0.8875471698112872,0.41205325854878655
106047img.jpg,0.08928941371452062,0.41966893865623955,0.1472497437360104,0.09119232064668162,0.7096985583223651,0.16161766898444402
107014img.jpg,0.3218537414965918,0.5461760461760264,0.405029427454666,0.2901505646173119,0.7059272449758152,0.4112634308590391
